chip_name,climate
28QDE_00,BWh Arid-Desert-Hot
28QDE_01,BWh Arid-Desert-Hot
28QDE_02,BWh Arid-Desert-Hot
28QDE_03,BWh Arid-Desert-Hot
28QDE_04,BWh Arid-Desert-Hot
28QDE_05,BWh Arid-Desert-Hot
28QDE_06,BWh Arid-Desert-Hot
28QDE_07,BWh Arid-Desert-Hot
28QDE_08,BWh Arid-Desert-Hot
28QDE_09,BWh Arid-Desert-Hot
28QDE_10,BWh Arid-Desert-Hot
28QDE_11,BWh Arid-Desert-Hot
28QDE_12,BWh Arid-Desert-Hot
28QDE_13,BWh Arid-Desert-Hot
28QDE_14,BWh Arid-Desert-Hot
28QDE_15,BWh Arid-Desert-Hot
28QDE_16,BWh Arid-Desert-Hot
28QDE_17,BWh Arid-Desert-Hot
28QDE_18,BWh Arid-Desert-Hot
28QDE_19,BWh Arid-Desert-Hot
28QDE_20,BWh Arid-Desert-Hot
28QDE_21,BWh Arid-Desert-Hot
28QDE_22,BWh Arid-Desert-Hot
28QDE_23,BWh Arid-Desert-Hot
28QDE_24,BWh Arid-Desert-Hot
28QDE_25,BWh Arid-Desert-Hot
28QDE_26,BWh Arid-Desert-Hot
28QDE_27,BWh Arid-Desert-Hot
28QDE_28,BWh Arid-Desert-Hot
28QDE_29,BWh Arid-Desert-Hot
29NMG_00,
29NMG_01,Am Tropical-Monsoon
29NMG_02,Am Tropical-Monsoon
29NMG_03,Af Tropical-Rainforest
29NMG_04,Am Tropical-Monsoon
29NMG_05,Am Tropical-Monsoon
29NMG_06,Am Tropical-Monsoon
29NMG_07,Af Tropical-Rainforest
29NMG_08,Af Tropical-Rainforest
29NMG_09,
29NMG_10,Am Tropical-Monsoon
29NMG_11,Am Tropical-Monsoon
29NMG_12,Af Tropical-Rainforest
29NMG_13,Am Tropical-Monsoon
29NMG_14,Am Tropical-Monsoon
29NMG_15,Am Tropical-Monsoon
29NMG_16,Am Tropical-Monsoon
29NMG_17,Am Tropical-Monsoon
29NMG_18,Am Tropical-Monsoon
29NMG_19,Am Tropical-Monsoon
29NMG_20,Am Tropical-Monsoon
29NMG_21,Am Tropical-Monsoon
29NMG_22,Af Tropical-Rainforest
29NMG_23,Am Tropical-Monsoon
29NMG_24,Am Tropical-Monsoon
29NMG_25,Am Tropical-Monsoon
29NMG_26,Am Tropical-Monsoon
29NMG_27,Am Tropical-Monsoon
29NMG_28,Am Tropical-Monsoon
29NMG_29,Am Tropical-Monsoon
29PKL_00,Am Tropical-Monsoon
29PKL_01,Aw Tropical-Savanna
29PKL_02,Aw Tropical-Savanna
29PKL_03,Aw Tropical-Savanna
29PKL_04,Aw Tropical-Savanna
29PKL_05,Aw Tropical-Savanna
29PKL_06,Am Tropical-Monsoon
29PKL_07,Aw Tropical-Savanna
29PKL_08,Aw Tropical-Savanna
29PKL_09,Aw Tropical-Savanna
29PKL_10,Aw Tropical-Savanna
29PKL_11,Aw Tropical-Savanna
29PKL_12,Aw Tropical-Savanna
29PKL_13,Am Tropical-Monsoon
29PKL_14,Aw Tropical-Savanna
29PKL_15,Aw Tropical-Savanna
29PKL_16,Aw Tropical-Savanna
29PKL_17,Aw Tropical-Savanna
29PKL_18,Aw Tropical-Savanna
29PKL_19,Aw Tropical-Savanna
29PKL_20,Am Tropical-Monsoon
29PKL_21,Aw Tropical-Savanna
29PKL_22,Aw Tropical-Savanna
29PKL_23,Aw Tropical-Savanna
29PKL_24,Aw Tropical-Savanna
29PKL_25,Aw Tropical-Savanna
29PKL_26,Am Tropical-Monsoon
29PKL_27,Am Tropical-Monsoon
29PKL_28,Aw Tropical-Savanna
29PKL_29,Aw Tropical-Savanna
29PNM_00,Aw Tropical-Savanna
29PNM_01,Aw Tropical-Savanna
29PNM_02,Aw Tropical-Savanna
29PNM_03,Aw Tropical-Savanna
29PNM_04,Aw Tropical-Savanna
29PNM_05,Aw Tropical-Savanna
29PNM_06,Aw Tropical-Savanna
29PNM_07,Aw Tropical-Savanna
29PNM_08,Aw Tropical-Savanna
29PNM_09,Aw Tropical-Savanna
29PNM_10,Aw Tropical-Savanna
29PNM_11,Aw Tropical-Savanna
29PNM_12,Aw Tropical-Savanna
29PNM_13,Aw Tropical-Savanna
29PNM_14,Aw Tropical-Savanna
29PNM_15,Aw Tropical-Savanna
29PNM_16,Aw Tropical-Savanna
29PNM_17,Aw Tropical-Savanna
29PNM_18,Aw Tropical-Savanna
29PNM_19,Aw Tropical-Savanna
29PNM_20,Aw Tropical-Savanna
29PNM_21,Aw Tropical-Savanna
29PNM_22,Aw Tropical-Savanna
29PNM_23,Aw Tropical-Savanna
29PNM_24,Aw Tropical-Savanna
29PNM_25,Aw Tropical-Savanna
29PNM_26,Aw Tropical-Savanna
29PNM_27,Aw Tropical-Savanna
29PNM_28,Aw Tropical-Savanna
29PNM_29,Aw Tropical-Savanna
30PTV_00,BSh Arid-Steppe-Hot
30PTV_01,BSh Arid-Steppe-Hot
30PTV_02,BSh Arid-Steppe-Hot
30PTV_03,BSh Arid-Steppe-Hot
30PTV_04,BSh Arid-Steppe-Hot
30PTV_05,BSh Arid-Steppe-Hot
30PTV_06,BSh Arid-Steppe-Hot
30PTV_07,BSh Arid-Steppe-Hot
30PTV_08,BSh Arid-Steppe-Hot
30PTV_09,BSh Arid-Steppe-Hot
30PTV_10,Aw Tropical-Savanna
30PTV_11,Aw Tropical-Savanna
30PTV_12,Aw Tropical-Savanna
30PTV_13,Aw Tropical-Savanna
30PTV_14,Aw Tropical-Savanna
30PTV_15,BSh Arid-Steppe-Hot
30PTV_16,Aw Tropical-Savanna
30PTV_17,BSh Arid-Steppe-Hot
30PTV_18,BSh Arid-Steppe-Hot
30PTV_19,BSh Arid-Steppe-Hot
30PTV_20,BSh Arid-Steppe-Hot
30PTV_21,BSh Arid-Steppe-Hot
30PTV_22,BSh Arid-Steppe-Hot
30PTV_23,BSh Arid-Steppe-Hot
30PTV_24,BSh Arid-Steppe-Hot
30PTV_25,BSh Arid-Steppe-Hot
30PTV_26,BSh Arid-Steppe-Hot
30PTV_27,Aw Tropical-Savanna
30PTV_28,BSh Arid-Steppe-Hot
30PTV_29,BSh Arid-Steppe-Hot
30PWT_00,Aw Tropical-Savanna
30PWT_01,Aw Tropical-Savanna
30PWT_02,Aw Tropical-Savanna
30PWT_03,Aw Tropical-Savanna
30PWT_04,Aw Tropical-Savanna
30PWT_05,Aw Tropical-Savanna
30PWT_06,Aw Tropical-Savanna
30PWT_07,Aw Tropical-Savanna
30PWT_08,Aw Tropical-Savanna
30PWT_09,Aw Tropical-Savanna
30PWT_10,Aw Tropical-Savanna
30PWT_11,Aw Tropical-Savanna
30PWT_12,Aw Tropical-Savanna
30PWT_13,Aw Tropical-Savanna
30PWT_14,Aw Tropical-Savanna
30PWT_15,Aw Tropical-Savanna
30PWT_16,Aw Tropical-Savanna
30PWT_17,Aw Tropical-Savanna
30PWT_18,Aw Tropical-Savanna
30PWT_19,Aw Tropical-Savanna
30PWT_20,Aw Tropical-Savanna
30PWT_21,Aw Tropical-Savanna
30PWT_22,Aw Tropical-Savanna
30PWT_23,Aw Tropical-Savanna
30PWT_24,Aw Tropical-Savanna
30PWT_25,Aw Tropical-Savanna
30PWT_26,Aw Tropical-Savanna
30PWT_27,Aw Tropical-Savanna
30PWT_28,Aw Tropical-Savanna
30PWT_29,Aw Tropical-Savanna
31NFH_00,
31NFH_01,Aw Tropical-Savanna
31NFH_02,Am Tropical-Monsoon
31NFH_03,Aw Tropical-Savanna
31NFH_04,Aw Tropical-Savanna
31NFH_05,Aw Tropical-Savanna
31NFH_06,Aw Tropical-Savanna
31NFH_07,Aw Tropical-Savanna
31NFH_08,Aw Tropical-Savanna
31NFH_09,Aw Tropical-Savanna
31NFH_10,Aw Tropical-Savanna
31NFH_11,Aw Tropical-Savanna
31NFH_12,Aw Tropical-Savanna
31NFH_13,Aw Tropical-Savanna
31NFH_14,Aw Tropical-Savanna
31NFH_15,Aw Tropical-Savanna
31NFH_16,Aw Tropical-Savanna
31NFH_17,Aw Tropical-Savanna
31NFH_18,Aw Tropical-Savanna
31NFH_19,Am Tropical-Monsoon
31NFH_20,Aw Tropical-Savanna
31NFH_21,Aw Tropical-Savanna
31NFH_22,Aw Tropical-Savanna
31NFH_23,Aw Tropical-Savanna
31NFH_24,Aw Tropical-Savanna
31NFH_25,Aw Tropical-Savanna
31NFH_26,Aw Tropical-Savanna
31NFH_27,Aw Tropical-Savanna
31NFH_28,Aw Tropical-Savanna
31NFH_29,Aw Tropical-Savanna
31PGR_00,BSh Arid-Steppe-Hot
31PGR_01,BSh Arid-Steppe-Hot
31PGR_02,BSh Arid-Steppe-Hot
31PGR_03,BSh Arid-Steppe-Hot
31PGR_04,BSh Arid-Steppe-Hot
31PGR_05,BSh Arid-Steppe-Hot
31PGR_06,BSh Arid-Steppe-Hot
31PGR_07,BSh Arid-Steppe-Hot
31PGR_08,BSh Arid-Steppe-Hot
31PGR_09,BSh Arid-Steppe-Hot
31PGR_10,BSh Arid-Steppe-Hot
31PGR_11,BSh Arid-Steppe-Hot
31PGR_12,BSh Arid-Steppe-Hot
31PGR_13,BSh Arid-Steppe-Hot
31PGR_14,BSh Arid-Steppe-Hot
31PGR_15,BSh Arid-Steppe-Hot
31PGR_16,BSh Arid-Steppe-Hot
31PGR_17,BSh Arid-Steppe-Hot
31PGR_18,BSh Arid-Steppe-Hot
31PGR_19,BSh Arid-Steppe-Hot
31PGR_20,BSh Arid-Steppe-Hot
31PGR_21,BSh Arid-Steppe-Hot
31PGR_22,BSh Arid-Steppe-Hot
31PGR_23,BSh Arid-Steppe-Hot
31PGR_24,BSh Arid-Steppe-Hot
31PGR_25,BSh Arid-Steppe-Hot
31PGR_26,BSh Arid-Steppe-Hot
31PGR_27,BSh Arid-Steppe-Hot
31PGR_28,BSh Arid-Steppe-Hot
31PGR_29,BSh Arid-Steppe-Hot
31PGS_00,BWh Arid-Desert-Hot
31PGS_01,BWh Arid-Desert-Hot
31PGS_02,BWh Arid-Desert-Hot
31PGS_03,BWh Arid-Desert-Hot
31PGS_04,BWh Arid-Desert-Hot
31PGS_05,BWh Arid-Desert-Hot
31PGS_06,BWh Arid-Desert-Hot
31PGS_07,BWh Arid-Desert-Hot
31PGS_08,BWh Arid-Desert-Hot
31PGS_09,BWh Arid-Desert-Hot
31PGS_10,BWh Arid-Desert-Hot
31PGS_11,BWh Arid-Desert-Hot
31PGS_12,BWh Arid-Desert-Hot
31PGS_13,BWh Arid-Desert-Hot
31PGS_14,BWh Arid-Desert-Hot
31PGS_15,BWh Arid-Desert-Hot
31PGS_16,BWh Arid-Desert-Hot
31PGS_17,BWh Arid-Desert-Hot
31PGS_18,BWh Arid-Desert-Hot
31PGS_19,BSh Arid-Steppe-Hot
31PGS_20,BWh Arid-Desert-Hot
31PGS_21,BSh Arid-Steppe-Hot
31PGS_22,BWh Arid-Desert-Hot
31PGS_23,BWh Arid-Desert-Hot
31PGS_24,BWh Arid-Desert-Hot
31PGS_25,BWh Arid-Desert-Hot
31PGS_26,BWh Arid-Desert-Hot
31PGS_27,BSh Arid-Steppe-Hot
31PGS_28,BWh Arid-Desert-Hot
31PGS_29,BWh Arid-Desert-Hot
32PLR_00,Aw Tropical-Savanna
32PLR_01,Aw Tropical-Savanna
32PLR_02,Aw Tropical-Savanna
32PLR_03,Aw Tropical-Savanna
